"filename", "language", "JSON", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 136, 0, 66, 202
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/actions/stream.actions.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 10, 26
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/app/(auth)/sign-in/[[...sign-in]]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/app/(auth)/sign-up/[[...sign-up]]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/app/(root)/(home)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/app/(root)/(home)/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/app/(root)/(home)/personal-room/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 0, 8, 80
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/app/(root)/(home)/previous/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/app/(root)/(home)/recordings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"/Users/daniellowery/DEVELOPER PROFESSIONAL PROJECTS/video-conferencing-fullstack-app/app/(root)/(home)/upcoming/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
